INSEE_COM;CLPE
01175;Grand Bourg Agglomération - Bresse - Veyle
01177;Grand Bourg Agglomération - Bresse - Veyle
01179;Grand Bourg Agglomération - Bresse - Veyle
01180;Haut Bugey Agglomération - Valserhône - Pays de Gex
01181;Haut Bugey Agglomération - Valserhône - Pays de Gex
01183;Dombes - Saône - Côtière
01184;Grand Bourg Agglomération - Bresse - Veyle
01185;Haut Bugey Agglomération - Valserhône - Pays de Gex
01187;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01188;Dombes - Saône - Côtière
01189;Haut Bugey Agglomération - Valserhône - Pays de Gex
01190;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01191;Haut Bugey Agglomération - Valserhône - Pays de Gex
01192;Haut Bugey Agglomération - Valserhône - Pays de Gex
01193;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01194;Dombes - Saône - Côtière
01195;Grand Bourg Agglomération - Bresse - Veyle
01196;Grand Bourg Agglomération - Bresse - Veyle
01197;Grand Bourg Agglomération - Bresse - Veyle
01198;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01199;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01200;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01202;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01203;Grand Bourg Agglomération - Bresse - Veyle
01204;Haut Bugey Agglomération - Valserhône - Pays de Gex
01206;Haut Bugey Agglomération - Valserhône - Pays de Gex
01207;Dombes - Saône - Côtière
01208;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01209;Haut Bugey Agglomération - Valserhône - Pays de Gex
01210;Haut Bugey Agglomération - Valserhône - Pays de Gex
01211;Grand Bourg Agglomération - Bresse - Veyle
01212;Grand Bourg Agglomération - Bresse - Veyle
01213;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01214;Haut Bugey Agglomération - Valserhône - Pays de Gex
01215;Haut Bugey Agglomération - Valserhône - Pays de Gex
01216;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01219;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01224;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01225;Dombes - Saône - Côtière
01227;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01228;Haut Bugey Agglomération - Valserhône - Pays de Gex
01229;Grand Bourg Agglomération - Bresse - Veyle
01230;Grand Bourg Agglomération - Bresse - Veyle
01231;Grand Bourg Agglomération - Bresse - Veyle
01232;Grand Bourg Agglomération - Bresse - Veyle
01233;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01234;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01235;Dombes - Saône - Côtière
01236;Grand Bourg Agglomération - Bresse - Veyle
01237;Haut Bugey Agglomération - Valserhône - Pays de Gex
01238;Dombes - Saône - Côtière
01239;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01240;Haut Bugey Agglomération - Valserhône - Pays de Gex
01241;Grand Bourg Agglomération - Bresse - Veyle
01242;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01243;Dombes - Saône - Côtière
01244;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01245;Grand Bourg Agglomération - Bresse - Veyle
01246;Grand Bourg Agglomération - Bresse - Veyle
01247;Haut Bugey Agglomération - Valserhône - Pays de Gex
01248;Dombes - Saône - Côtière
01249;Dombes - Saône - Côtière
01250;Dombes - Saône - Côtière
01252;Dombes - Saône - Côtière
01254;Grand Bourg Agglomération - Bresse - Veyle
01255;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01257;Haut Bugey Agglomération - Valserhône - Pays de Gex
01258;Dombes - Saône - Côtière
01259;Grand Bourg Agglomération - Bresse - Veyle
01260;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01261;Dombes - Saône - Côtière
01262;Dombes - Saône - Côtière
01263;Dombes - Saône - Côtière
01264;Grand Bourg Agglomération - Bresse - Veyle
01265;Haut Bugey Agglomération - Valserhône - Pays de Gex
01266;Grand Bourg Agglomération - Bresse - Veyle
01267;Haut Bugey Agglomération - Valserhône - Pays de Gex
01268;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01269;Haut Bugey Agglomération - Valserhône - Pays de Gex
01272;Dombes - Saône - Côtière
01273;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01274;Haut Bugey Agglomération - Valserhône - Pays de Gex
01275;Dombes - Saône - Côtière
01276;Dombes - Saône - Côtière
01277;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01279;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01280;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01281;Haut Bugey Agglomération - Valserhône - Pays de Gex
01282;Haut Bugey Agglomération - Valserhône - Pays de Gex
01283;Haut Bugey Agglomération - Valserhône - Pays de Gex
01284;Grand Bourg Agglomération - Bresse - Veyle
01285;Dombes - Saône - Côtière
01286;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01288;Haut Bugey Agglomération - Valserhône - Pays de Gex
01289;Grand Bourg Agglomération - Bresse - Veyle
01290;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01291;Grand Bourg Agglomération - Bresse - Veyle
01293;Haut Bugey Agglomération - Valserhône - Pays de Gex
01294;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01295;Dombes - Saône - Côtière
01296;Grand Bourg Agglomération - Bresse - Veyle
01297;Dombes - Saône - Côtière
01298;Haut Bugey Agglomération - Valserhône - Pays de Gex
01299;Dombes - Saône - Côtière
01301;Grand Bourg Agglomération - Bresse - Veyle
01302;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01303;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01304;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01305;Grand Bourg Agglomération - Bresse - Veyle
01306;Grand Bourg Agglomération - Bresse - Veyle
01307;Haut Bugey Agglomération - Valserhône - Pays de Gex
01308;Haut Bugey Agglomération - Valserhône - Pays de Gex
01309;Grand Bourg Agglomération - Bresse - Veyle
01310;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01311;Haut Bugey Agglomération - Valserhône - Pays de Gex
01313;Haut Bugey Agglomération - Valserhône - Pays de Gex
01314;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01317;Grand Bourg Agglomération - Bresse - Veyle
01318;Dombes - Saône - Côtière
01319;Dombes - Saône - Côtière
01320;Grand Bourg Agglomération - Bresse - Veyle
01321;Grand Bourg Agglomération - Bresse - Veyle
01322;Dombes - Saône - Côtière
01323;Grand Bourg Agglomération - Bresse - Veyle
01325;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01328;Dombes - Saône - Côtière
01329;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01331;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01332;Grand Bourg Agglomération - Bresse - Veyle
01333;Dombes - Saône - Côtière
01334;Grand Bourg Agglomération - Bresse - Veyle
01335;Dombes - Saône - Côtière
01336;Grand Bourg Agglomération - Bresse - Veyle
01337;Grand Bourg Agglomération - Bresse - Veyle
01338;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01339;Dombes - Saône - Côtière
01342;Dombes - Saône - Côtière
01343;Grand Bourg Agglomération - Bresse - Veyle
01344;Grand Bourg Agglomération - Bresse - Veyle
01345;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01346;Grand Bourg Agglomération - Bresse - Veyle
01347;Dombes - Saône - Côtière
01348;Dombes - Saône - Côtière
01349;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01350;Grand Bourg Agglomération - Bresse - Veyle
01351;Dombes - Saône - Côtière
01352;Grand Bourg Agglomération - Bresse - Veyle
01353;Dombes - Saône - Côtière
01354;Haut Bugey Agglomération - Valserhône - Pays de Gex
01355;Grand Bourg Agglomération - Bresse - Veyle
01356;Dombes - Saône - Côtière
01357;Haut Bugey Agglomération - Valserhône - Pays de Gex
01358;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01359;Dombes - Saône - Côtière
01360;Haut Bugey Agglomération - Valserhône - Pays de Gex
01361;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01362;Dombes - Saône - Côtière
01363;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01364;Grand Bourg Agglomération - Bresse - Veyle
01365;Grand Bourg Agglomération - Bresse - Veyle
01366;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01367;Grand Bourg Agglomération - Bresse - Veyle
01368;Grand Bourg Agglomération - Bresse - Veyle
01369;Grand Bourg Agglomération - Bresse - Veyle
01370;Grand Bourg Agglomération - Bresse - Veyle
01371;Dombes - Saône - Côtière
01372;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01373;Haut Bugey Agglomération - Valserhône - Pays de Gex
01374;Grand Bourg Agglomération - Bresse - Veyle
01375;Grand Bourg Agglomération - Bresse - Veyle
01376;Dombes - Saône - Côtière
01378;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01379;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01380;Grand Bourg Agglomération - Bresse - Veyle
01381;Dombes - Saône - Côtière
01382;Dombes - Saône - Côtière
01383;Dombes - Saône - Côtière
01384;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01385;Grand Bourg Agglomération - Bresse - Veyle
01386;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01387;Grand Bourg Agglomération - Bresse - Veyle
01388;Grand Bourg Agglomération - Bresse - Veyle
01389;Dombes - Saône - Côtière
01390;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01391;Grand Bourg Agglomération - Bresse - Veyle
01392;Haut Bugey Agglomération - Valserhône - Pays de Gex
01393;Dombes - Saône - Côtière
01396;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01397;Haut Bugey Agglomération - Valserhône - Pays de Gex
01398;Dombes - Saône - Côtière
01399;Haut Bugey Agglomération - Valserhône - Pays de Gex
01400;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01401;Haut Bugey Agglomération - Valserhône - Pays de Gex
01402;Grand Bourg Agglomération - Bresse - Veyle
01403;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01404;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01405;Grand Bourg Agglomération - Bresse - Veyle
01406;Grand Bourg Agglomération - Bresse - Veyle
01407;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01408;Grand Bourg Agglomération - Bresse - Veyle
01410;Haut Bugey Agglomération - Valserhône - Pays de Gex
01411;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01412;Dombes - Saône - Côtière
01415;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01416;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01418;Dombes - Saône - Côtière
01419;Haut Bugey Agglomération - Valserhône - Pays de Gex
01420;Dombes - Saône - Côtière
01421;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01422;Grand Bourg Agglomération - Bresse - Veyle
01423;Dombes - Saône - Côtière
01424;Dombes - Saône - Côtière
01425;Grand Bourg Agglomération - Bresse - Veyle
01426;Grand Bourg Agglomération - Bresse - Veyle
01427;Dombes - Saône - Côtière
01428;Dombes - Saône - Côtière
01429;Grand Bourg Agglomération - Bresse - Veyle
01430;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01431;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01432;Grand Bourg Agglomération - Bresse - Veyle
01433;Grand Bourg Agglomération - Bresse - Veyle
01434;Dombes - Saône - Côtière
01435;Haut Bugey Agglomération - Valserhône - Pays de Gex
01436;Haut Bugey Agglomération - Valserhône - Pays de Gex
01437;Grand Bourg Agglomération - Bresse - Veyle
01439;Grand Bourg Agglomération - Bresse - Veyle
01441;Haut Bugey Agglomération - Valserhône - Pays de Gex
01443;Dombes - Saône - Côtière
01444;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01445;Grand Bourg Agglomération - Bresse - Veyle
01446;Dombes - Saône - Côtière
01447;Grand Bourg Agglomération - Bresse - Veyle
01448;Haut Bugey Agglomération - Valserhône - Pays de Gex
01449;Dombes - Saône - Côtière
01450;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01451;Grand Bourg Agglomération - Bresse - Veyle
01452;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01453;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01454;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01456;Plaine de l’Ain - Bugey Sud - Rives de l'Ain Pays du Cerdon
01457;Grand Bourg Agglomération - Bresse - Veyle
02001;Laon
02002;Laon
02003;Soissons
02004;Laon
02005;Laon
02006;Vervins
02007;Laon
02008;Soissons
02009;Saint-Quentin
02010;Soissons
02011;Soissons
02012;Soissons
02013;Laon
02014;Laon
02015;Soissons
02016;Laon
02017;Laon
02018;Laon
